,h = 1,h = 2,h = 3,h = 4
4458,66615,80426,43038,59745
6980,19571,17789,49630,73261
10124,32928,28513,45895,16023
6132,7631,38475,58299,46836
3642,26489,33825,10189,85681
4192,77205,88763,71496,50279
3697,105641,96857,31453,102904
3910,45644,26789,97787,34372
3500,31706,19994,34233,15083
5761,115083,60490,132659,148253
