,h = 1,h = 2,h = 3,h = 4
4458,49516,58939,36861,51018
6980,73616,21603,53559,47610
10124,14024,10637,48129,19861
6132,48083,40566,37227,45655
3642,16054,66581,18106,24866
4192,52806,44124,34639,58749
3697,37005,25972,59189,46848
3910,59265,52683,37905,38143
3500,24638,15436,5817,17488
5761,20241,63198,75930,53005
