,h = 1,h = 2,h = 3,h = 4
4458,30394,30394,30394,30394
6980,12022,12022,12022,12022
10124,11274,11274,11274,11274
6132,21384,21384,21384,21384
3642,17538,17538,17538,17538
4192,18457,18457,18457,18457
3697,9849,9849,9849,9849
3910,12724,12724,12724,12724
3500,13769,13769,13769,13769
5761,30894,30894,30894,30894
