,h = 1,h = 2,h = 3,h = 4
4458,19702,14999,13462,16862
6980,11513,14281,8805,15551
10124,18608,12015,10735,19383
6132,7971,6187,15439,8261
3642,10550,10011,9660,16806
4192,13149,14895,11643,17554
3697,11751,15535,10431,14316
3910,5414,12591,10723,12300
3500,9035,4408,2875,7759
5761,14151,8375,16067,8649
