,h = 1,h = 2,h = 3,h = 4
4458,33242,16328,22905,32658
6980,19942,18161,64944,52139
10124,27183,18937,30091,26080
6132,10006,17858,6066,43751
3642,44293,46884,16517,31332
4192,41289,49250,45115,42883
3697,40970,7941,39654,17866
3910,31475,28806,26319,23960
3500,24251,47859,25845,50641
5761,35515,40097,40102,40972
