,h = 1,h = 2,h = 3,h = 4
145,18510,15586,28010,16753
418,7615,18346,17838,18846
137,32945,28071,21282,26224
169,27553,20139,21341,32940
157,7401,26555,25139,8944
259,30392,36228,16490,32418
217,24088,14958,23684,21304
106,22038,20969,9733,11271
295,31876,7614,30765,24505
318,19481,37088,20208,6951
