,h = 1,h = 2,h = 3,h = 4
145,41196,31668,107242,71168
418,64829,29970,69964,44357
137,46504,32373,119834,108486
169,25862,76637,72873,46610
157,33351,56536,65284,51375
259,39184,83482,75802,83154
217,48150,18352,137540,25250
106,113188,36041,65164,97564
295,49466,68616,30394,27187
318,27627,52295,27541,23626
