,h = 1,h = 2,h = 3,h = 4
145,8942,12978,9981,3433
418,6363,4053,7291,12979
137,2139,4679,6767,5051
169,11421,10299,6765,7469
157,8431,9484,5795,8838
259,2448,10571,7134,2151
217,10451,7283,10263,3687
106,9747,7975,9103,6801
295,15447,6214,7129,2785
318,10319,6647,8359,12219
