,h = 1,h = 2,h = 3,h = 4
145,17011,44920,33383,13481
418,9987,24653,52892,14582
137,22910,19991,26534,33559
169,25450,30128,32255,41578
157,35033,28235,51520,7839
259,20448,29117,16880,20637
217,25906,35356,24423,27216
106,51059,39557,3841,38513
295,36113,9352,20048,38553
318,46226,43019,19373,20406
