,h = 1,h = 2,h = 3,h = 4
145,18019,38556,21554,45823
418,20897,26004,24939,12190
137,25774,23217,32951,70285
169,23308,12286,50675,55740
157,16514,61970,29220,18066
259,27661,45760,37942,35179
217,30117,47562,63021,24632
106,23688,21341,37636,51099
295,51430,7712,13766,15206
318,27859,15209,14792,20851
