,h = 1,h = 2,h = 3,h = 4
2,10099,10673,15589,14817
74,7013,9719,8627,10999
90,14047,14278,10235,9767
95,2342,12237,2837,3901
120,10849,8860,12718,7919
145,10387,4161,12575,11173
147,10611,8291,14043,9509
230,8762,10975,6579,7351
233,7681,13403,14681,7283
285,17013,10719,8959,7913
