,h = 1,h = 2,h = 3,h = 4
2,64269,49748,75167,43610
74,27084,130522,91034,17142
90,33023,21885,26897,20825
95,116832,69885,147028,86850
120,53541,92458,88242,86548
145,23140,103085,38602,27669
147,33686,34739,53929,28843
230,53866,65408,16145,14860
233,72154,117978,57756,56386
285,25173,22661,28212,39561
