,h = 1,h = 2,h = 3,h = 4
2,32827,43133,47422,31860
74,11510,33146,45989,31084
90,29420,19204,26028,9929
95,17111,16163,9683,8208
120,29946,21339,28120,24611
145,26930,20116,15494,18197
147,30683,28847,18613,14726
230,47189,7769,43244,19591
233,15607,11573,17767,6512
285,44605,14858,12286,33197
