,h = 1,h = 2,h = 3,h = 4
2,26737,26737,26737,26737
74,16430,16430,16430,16430
90,16399,16399,16399,16399
95,12126,12126,12126,12126
120,14833,14833,14833,14833
145,32063,32063,32063,32063
147,13708,13708,13708,13708
230,29602,29602,29602,29602
233,23682,23682,23682,23682
285,43882,43882,43882,43882
