,t-5,t-4,t-3,t-2,t-1,target
0,34.18,31.07,31.07,6.21,32.93,29.83
1,31.07,31.07,6.21,32.93,29.83,29.83
2,31.07,6.21,32.93,29.83,29.83,29.83
3,6.21,32.93,29.83,29.83,29.83,29.2
4,32.93,29.83,29.83,29.83,29.2,27.96
5,29.83,29.83,29.83,29.2,27.96,26.72
6,29.83,29.83,29.2,27.96,26.72,32.93
7,29.83,29.2,27.96,26.72,32.93,29.83
8,29.2,27.96,26.72,32.93,29.83,29.83
9,27.96,26.72,32.93,29.83,29.83,29.2
10,26.72,32.93,29.83,29.83,29.2,29.2
11,32.93,29.83,29.83,29.2,29.2,26.72
12,29.83,29.83,29.2,29.2,26.72,31.07
13,29.83,29.2,29.2,26.72,31.07,29.83
14,29.2,29.2,26.72,31.07,29.83,26.72
15,29.2,26.72,31.07,29.83,26.72,27.96
16,26.72,31.07,29.83,26.72,27.96,26.72
17,31.07,29.83,26.72,27.96,26.72,27.96
18,29.83,26.72,27.96,26.72,27.96,29.2
19,26.72,27.96,26.72,27.96,29.2,29.83
20,27.96,26.72,27.96,29.2,29.83,29.83
21,26.72,27.96,29.2,29.83,29.83,31.07
22,27.96,29.2,29.83,29.83,31.07,31.69
23,29.2,29.83,29.83,31.07,31.69,29.2
24,29.83,29.83,31.07,31.69,29.2,31.07
25,29.83,31.07,31.69,29.2,31.07,29.83
26,31.07,31.69,29.2,31.07,29.83,31.69
27,31.69,29.2,31.07,29.83,31.69,26.1
28,29.2,31.07,29.83,31.69,26.1,32.93
29,31.07,29.83,31.69,26.1,32.93,31.69
30,29.83,31.69,26.1,32.93,31.69,31.69
31,31.69,26.1,32.93,31.69,31.69,31.69
32,26.1,32.93,31.69,31.69,31.69,29.83
33,32.93,31.69,31.69,31.69,29.83,31.07
34,31.69,31.69,31.69,29.83,31.07,29.83
35,31.69,31.69,29.83,31.07,29.83,29.2
36,31.69,29.83,31.07,29.83,29.2,31.07
37,29.83,31.07,29.83,29.2,31.07,31.69
38,31.07,29.83,29.2,31.07,31.69,29.83
39,29.83,29.2,31.07,31.69,29.83,31.69
40,29.2,31.07,31.69,29.83,31.69,32.93
41,31.07,31.69,29.83,31.69,32.93,31.69
42,31.69,29.83,31.69,32.93,31.69,31.69
43,29.83,31.69,32.93,31.69,31.69,31.69
44,31.69,32.93,31.69,31.69,31.69,31.07
45,32.93,31.69,31.69,31.69,31.07,54.06
46,31.69,31.69,31.69,31.07,54.06,31.69
47,31.69,31.69,31.07,54.06,31.69,34.18
48,31.69,31.07,54.06,31.69,34.18,31.69
49,31.07,54.06,31.69,34.18,31.69,32.93
50,54.06,31.69,34.18,31.69,32.93,34.18
51,31.69,34.18,31.69,32.93,34.18,32.93
52,34.18,31.69,32.93,34.18,32.93,34.18
53,31.69,32.93,34.18,32.93,34.18,32.93
54,32.93,34.18,32.93,34.18,32.93,32.93
55,34.18,32.93,34.18,32.93,32.93,34.8
56,32.93,34.18,32.93,32.93,34.8,31.69
57,34.18,32.93,32.93,34.8,31.69,32.93
58,32.93,32.93,34.8,31.69,32.93,32.93
59,32.93,34.8,31.69,32.93,32.93,34.18
60,34.8,31.69,32.93,32.93,34.18,31.69
61,31.69,32.93,32.93,34.18,31.69,31.69
62,32.93,32.93,34.18,31.69,31.69,32.93
63,32.93,34.18,31.69,31.69,32.93,34.18
64,34.18,31.69,31.69,32.93,34.18,31.69
65,31.69,31.69,32.93,34.18,31.69,31.69
66,31.69,32.93,34.18,31.69,31.69,31.07
67,32.93,34.18,31.69,31.69,31.07,34.18
68,34.18,31.69,31.69,31.07,34.18,32.93
69,31.69,31.69,31.07,34.18,32.93,34.8
70,31.69,31.07,34.18,32.93,34.8,37.28
71,31.07,34.18,32.93,34.8,37.28,34.8
72,34.18,32.93,34.8,37.28,34.8,32.93
73,32.93,34.8,37.28,34.8,32.93,31.69
74,34.8,37.28,34.8,32.93,31.69,32.93
75,37.28,34.8,32.93,31.69,32.93,32.93
76,34.8,32.93,31.69,32.93,32.93,31.69
77,32.93,31.69,32.93,32.93,31.69,31.69
78,31.69,32.93,32.93,31.69,31.69,32.93
79,32.93,32.93,31.69,31.69,32.93,32.93
80,32.93,31.69,31.69,32.93,32.93,32.93
81,31.69,31.69,32.93,32.93,32.93,34.18
82,31.69,32.93,32.93,32.93,34.18,34.18
83,32.93,32.93,32.93,34.18,34.18,36.04
84,32.93,32.93,34.18,34.18,36.04,34.18
85,32.93,34.18,34.18,36.04,34.18,32.93
86,34.18,34.18,36.04,34.18,32.93,36.04
87,34.18,36.04,34.18,32.93,36.04,34.18
88,36.04,34.18,32.93,36.04,34.18,36.04
89,34.18,32.93,36.04,34.18,36.04,34.8
90,32.93,36.04,34.18,36.04,34.8,34.8
91,36.04,34.18,36.04,34.8,34.8,34.18
92,34.18,36.04,34.8,34.8,34.18,34.18
93,36.04,34.8,34.8,34.18,34.18,32.93
94,34.8,34.8,34.18,34.18,32.93,32.93
95,34.8,34.18,34.18,32.93,32.93,36.04
96,34.18,34.18,32.93,32.93,36.04,34.8
97,34.18,32.93,32.93,36.04,34.8,31.69
98,32.93,32.93,36.04,34.8,31.69,36.04
99,32.93,36.04,34.8,31.69,36.04,34.18
100,36.04,34.8,31.69,36.04,34.18,36.04
101,34.8,31.69,36.04,34.18,36.04,32.93
102,31.69,36.04,34.18,36.04,32.93,34.18
103,36.04,34.18,36.04,32.93,34.18,36.04
104,34.18,36.04,32.93,34.18,36.04,34.18
105,36.04,32.93,34.18,36.04,34.18,34.18
106,32.93,34.18,36.04,34.18,34.18,34.18
107,34.18,36.04,34.18,34.18,34.18,36.04
108,36.04,34.18,34.18,34.18,36.04,34.18
109,34.18,34.18,34.18,36.04,34.18,31.69
110,34.18,34.18,36.04,34.18,31.69,29.2
111,34.18,36.04,34.18,31.69,29.2,31.69
112,36.04,34.18,31.69,29.2,31.69,34.18
113,34.18,31.69,29.2,31.69,34.18,32.93
