,t-5,t-4,t-3,t-2,t-1,target
122,62.14,60.89,62.14,60.27,59.03,60.27
123,60.89,62.14,60.27,59.03,60.27,62.14
124,62.14,60.27,59.03,60.27,62.14,60.89
125,60.27,59.03,60.27,62.14,60.89,60.27
126,59.03,60.27,62.14,60.89,60.27,60.27
127,60.27,62.14,60.89,60.27,60.27,62.76
128,62.14,60.89,60.27,60.27,62.76,60.27
129,60.89,60.27,60.27,62.76,60.27,59.03
130,60.27,60.27,62.76,60.27,59.03,59.03
131,60.27,62.76,60.27,59.03,59.03,57.17
132,62.76,60.27,59.03,59.03,57.17,59.03
133,60.27,59.03,59.03,57.17,59.03,60.27
134,59.03,59.03,57.17,59.03,60.27,60.27
135,59.03,57.17,59.03,60.27,60.27,62.14
136,57.17,59.03,60.27,60.27,62.14,59.03
137,59.03,60.27,60.27,62.14,59.03,60.27
138,60.27,60.27,62.14,59.03,60.27,59.03
139,60.27,62.14,59.03,60.27,59.03,57.17
140,62.14,59.03,60.27,59.03,57.17,60.27
141,59.03,60.27,59.03,57.17,60.27,59.03
142,60.27,59.03,57.17,60.27,59.03,59.03
143,59.03,57.17,60.27,59.03,59.03,57.79
144,57.17,60.27,59.03,59.03,57.79,57.17
145,60.27,59.03,59.03,57.79,57.17,57.17
146,59.03,59.03,57.79,57.17,57.17,57.79
147,59.03,57.79,57.17,57.17,57.79,57.79
148,57.79,57.17,57.17,57.79,57.79,60.27
149,57.17,57.17,57.79,57.79,60.27,57.17
150,57.17,57.79,57.79,60.27,57.17,60.27
151,57.79,57.79,60.27,57.17,60.27,59.03
152,57.79,60.27,57.17,60.27,59.03,60.27
153,60.27,57.17,60.27,59.03,60.27,55.3
154,57.17,60.27,59.03,60.27,55.3,59.03
155,60.27,59.03,60.27,55.3,59.03,59.03
156,59.03,60.27,55.3,59.03,59.03,57.17
157,60.27,55.3,59.03,59.03,57.17,52.2
158,55.3,59.03,59.03,57.17,52.2,57.17
159,59.03,59.03,57.17,52.2,57.17,55.92
160,59.03,57.17,52.2,57.17,55.92,57.79
161,57.17,52.2,57.17,55.92,57.79,54.06
162,52.2,57.17,55.92,57.79,54.06,52.2
163,57.17,55.92,57.79,54.06,52.2,55.92
164,55.92,57.79,54.06,52.2,55.92,52.82
165,57.79,54.06,52.2,55.92,52.82,52.82
166,54.06,52.2,55.92,52.82,52.82,57.17
167,52.2,55.92,52.82,52.82,57.17,55.3
168,55.92,52.82,52.82,57.17,55.3,49.09
169,52.82,52.82,57.17,55.3,49.09,49.71
170,52.82,57.17,55.3,49.09,49.71,55.3
171,57.17,55.3,49.09,49.71,55.3,54.06
172,55.3,49.09,49.71,55.3,54.06,50.95
173,49.09,49.71,55.3,54.06,50.95,52.82
174,49.71,55.3,54.06,50.95,52.82,52.2
175,55.3,54.06,50.95,52.82,52.2,50.95
176,54.06,50.95,52.82,52.2,50.95,52.82
177,50.95,52.82,52.2,50.95,52.82,52.82
178,52.82,52.2,50.95,52.82,52.82,45.98
179,52.2,50.95,52.82,52.82,45.98,52.82
180,50.95,52.82,52.82,45.98,52.82,47.85
181,52.82,52.82,45.98,52.82,47.85,49.09
182,52.82,45.98,52.82,47.85,49.09,44.74
183,45.98,52.82,47.85,49.09,44.74,47.85
184,52.82,47.85,49.09,44.74,47.85,49.09
185,47.85,49.09,44.74,47.85,49.09,47.85
186,49.09,44.74,47.85,49.09,47.85,52.2
187,44.74,47.85,49.09,47.85,52.2,52.2
188,47.85,49.09,47.85,52.2,52.2,49.09
189,49.09,47.85,52.2,52.2,49.09,54.06
190,47.85,52.2,52.2,49.09,54.06,49.71
