,t-5,t-4,t-3,t-2,t-1,target
0,55.92,62.76,62.76,62.76,57.79,60.89
1,62.76,62.76,62.76,57.79,60.89,60.89
2,62.76,62.76,57.79,60.89,60.89,57.17
3,62.76,57.79,60.89,60.89,57.17,57.79
4,57.79,60.89,60.89,57.17,57.79,60.27
5,60.89,60.89,57.17,57.79,60.27,59.03
6,60.89,57.17,57.79,60.27,59.03,60.27
7,57.17,57.79,60.27,59.03,60.27,60.27
8,57.79,60.27,59.03,60.27,60.27,60.27
9,60.27,59.03,60.27,60.27,60.27,57.79
10,59.03,60.27,60.27,60.27,57.79,57.79
11,60.27,60.27,60.27,57.79,57.79,59.03
12,60.27,60.27,57.79,57.79,59.03,57.17
13,60.27,57.79,57.79,59.03,57.17,57.17
14,57.79,57.79,59.03,57.17,57.17,60.89
15,57.79,59.03,57.17,57.17,60.89,59.03
16,59.03,57.17,57.17,60.89,59.03,55.3
17,57.17,57.17,60.89,59.03,55.3,59.03
18,57.17,60.89,59.03,55.3,59.03,57.17
19,60.89,59.03,55.3,59.03,57.17,57.79
20,59.03,55.3,59.03,57.17,57.79,60.27
21,55.3,59.03,57.17,57.79,60.27,59.03
22,59.03,57.17,57.79,60.27,59.03,59.03
23,57.17,57.79,60.27,59.03,59.03,57.79
24,57.79,60.27,59.03,59.03,57.79,60.27
25,60.27,59.03,59.03,57.79,60.27,57.79
26,59.03,59.03,57.79,60.27,57.79,57.17
27,59.03,57.79,60.27,57.79,57.17,57.17
28,57.79,60.27,57.79,57.17,57.17,60.27
29,60.27,57.79,57.17,57.17,60.27,59.03
30,57.79,57.17,57.17,60.27,59.03,57.79
31,57.17,57.17,60.27,59.03,57.79,60.27
32,57.17,60.27,59.03,57.79,60.27,60.27
33,60.27,59.03,57.79,60.27,60.27,60.27
34,59.03,57.79,60.27,60.27,60.27,60.27
35,57.79,60.27,60.27,60.27,60.27,60.27
36,60.27,60.27,60.27,60.27,60.27,57.79
37,60.27,60.27,60.27,60.27,57.79,57.79
38,60.27,60.27,60.27,57.79,57.79,57.79
39,60.27,60.27,57.79,57.79,57.79,60.27
40,60.27,57.79,57.79,57.79,60.27,60.27
41,57.79,57.79,57.79,60.27,60.27,59.03
42,57.79,57.79,60.27,60.27,59.03,60.27
43,57.79,60.27,60.27,59.03,60.27,59.03
44,60.27,60.27,59.03,60.27,59.03,60.89
45,60.27,59.03,60.27,59.03,60.89,60.27
46,59.03,60.27,59.03,60.89,60.27,59.03
47,60.27,59.03,60.89,60.27,59.03,59.03
48,59.03,60.89,60.27,59.03,59.03,59.03
49,60.89,60.27,59.03,59.03,59.03,62.76
50,60.27,59.03,59.03,59.03,62.76,62.14
51,59.03,59.03,59.03,62.76,62.14,60.89
52,59.03,59.03,62.76,62.14,60.89,44.12
53,59.03,62.76,62.14,60.89,44.12,60.27
54,62.76,62.14,60.89,44.12,60.27,60.27
55,62.14,60.89,44.12,60.27,60.27,57.79
56,60.89,44.12,60.27,60.27,57.79,60.27
57,44.12,60.27,60.27,57.79,60.27,60.27
58,60.27,60.27,57.79,60.27,60.27,62.76
59,60.27,57.79,60.27,60.27,62.76,60.27
60,57.79,60.27,60.27,62.76,60.27,60.27
61,60.27,60.27,62.76,60.27,60.27,57.79
62,60.27,62.76,60.27,60.27,57.79,55.92
63,62.76,60.27,60.27,57.79,55.92,60.27
64,60.27,60.27,57.79,55.92,60.27,57.79
65,60.27,57.79,55.92,60.27,57.79,60.27
66,57.79,55.92,60.27,57.79,60.27,60.27
67,55.92,60.27,57.79,60.27,60.27,60.27
68,60.27,57.79,60.27,60.27,60.27,60.27
69,57.79,60.27,60.27,60.27,60.27,62.14
70,60.27,60.27,60.27,60.27,62.14,60.27
71,60.27,60.27,60.27,62.14,60.27,60.27
72,60.27,60.27,62.14,60.27,60.27,60.27
73,60.27,62.14,60.27,60.27,60.27,57.79
74,62.14,60.27,60.27,60.27,57.79,59.03
75,60.27,60.27,60.27,57.79,59.03,59.03
76,60.27,60.27,57.79,59.03,59.03,62.14
77,60.27,57.79,59.03,59.03,62.14,59.03
78,57.79,59.03,59.03,62.14,59.03,60.27
79,59.03,59.03,62.14,59.03,60.27,60.89
80,59.03,62.14,59.03,60.27,60.89,57.79
81,62.14,59.03,60.27,60.89,57.79,60.89
82,59.03,60.27,60.89,57.79,60.89,62.76
83,60.27,60.89,57.79,60.89,62.76,62.14
84,60.89,57.79,60.89,62.76,62.14,59.03
85,57.79,60.89,62.76,62.14,59.03,62.76
86,60.89,62.76,62.14,59.03,62.76,65.87
87,62.76,62.14,59.03,62.76,65.87,62.76
88,62.14,59.03,62.76,65.87,62.76,62.14
89,59.03,62.76,65.87,62.76,62.14,64.0
90,62.76,65.87,62.76,62.14,64.0,62.76
91,65.87,62.76,62.14,64.0,62.76,59.03
92,62.76,62.14,64.0,62.76,59.03,60.89
93,62.14,64.0,62.76,59.03,60.89,62.14
94,64.0,62.76,59.03,60.89,62.14,60.89
95,62.76,59.03,60.89,62.14,60.89,60.27
96,59.03,60.89,62.14,60.89,60.27,60.27
97,60.89,62.14,60.89,60.27,60.27,62.14
98,62.14,60.89,60.27,60.27,62.14,62.76
99,60.89,60.27,60.27,62.14,62.76,62.76
100,60.27,60.27,62.14,62.76,62.76,62.76
101,60.27,62.14,62.76,62.76,62.76,62.14
102,62.14,62.76,62.76,62.76,62.14,60.27
103,62.76,62.76,62.76,62.14,60.27,60.89
104,62.76,62.76,62.14,60.27,60.89,60.27
105,62.76,62.14,60.27,60.89,60.27,62.14
106,62.14,60.27,60.89,60.27,62.14,62.76
107,60.27,60.89,60.27,62.14,62.76,60.89
108,60.89,60.27,62.14,62.76,60.89,64.0
109,60.27,62.14,62.76,60.89,64.0,64.0
110,62.14,62.76,60.89,64.0,64.0,60.27
111,62.76,60.89,64.0,64.0,60.27,60.27
112,60.89,64.0,64.0,60.27,60.27,62.14
113,64.0,64.0,60.27,60.27,62.14,59.03
114,64.0,60.27,60.27,62.14,59.03,62.14
115,60.27,60.27,62.14,59.03,62.14,62.14
116,60.27,62.14,59.03,62.14,62.14,60.89
117,62.14,59.03,62.14,62.14,60.89,60.27
118,59.03,62.14,62.14,60.89,60.27,60.27
119,62.14,62.14,60.89,60.27,60.27,57.79
120,62.14,60.89,60.27,60.27,57.79,60.27
121,60.89,60.27,60.27,57.79,60.27,60.89
122,60.27,60.27,57.79,60.27,60.89,60.27
123,60.27,57.79,60.27,60.89,60.27,60.27
124,57.79,60.27,60.89,60.27,60.27,60.89
125,60.27,60.89,60.27,60.27,60.89,59.03
126,60.89,60.27,60.27,60.89,59.03,60.27
127,60.27,60.27,60.89,59.03,60.27,62.76
128,60.27,60.89,59.03,60.27,62.76,62.76
129,60.89,59.03,60.27,62.76,62.76,62.76
130,59.03,60.27,62.76,62.76,62.76,60.89
131,60.27,62.76,62.76,62.76,60.89,62.14
132,62.76,62.76,62.76,60.89,62.14,62.76
133,62.76,62.76,60.89,62.14,62.76,62.14
134,62.76,60.89,62.14,62.76,62.14,62.14
135,60.89,62.14,62.76,62.14,62.14,62.14
136,62.14,62.76,62.14,62.14,62.14,60.89
137,62.76,62.14,62.14,62.14,60.89,60.27
138,62.14,62.14,62.14,60.89,60.27,62.14
139,62.14,62.14,60.89,60.27,62.14,60.89
140,62.14,60.89,60.27,62.14,60.89,62.14
141,60.89,60.27,62.14,60.89,62.14,60.27
142,60.27,62.14,60.89,62.14,60.27,57.79
143,62.14,60.89,62.14,60.27,57.79,59.03
144,60.89,62.14,60.27,57.79,59.03,59.03
145,62.14,60.27,57.79,59.03,59.03,60.27
146,60.27,57.79,59.03,59.03,60.27,62.14
147,57.79,59.03,59.03,60.27,62.14,60.27
148,59.03,59.03,60.27,62.14,60.27,60.89
149,59.03,60.27,62.14,60.27,60.89,62.14
150,60.27,62.14,60.27,60.89,62.14,62.76
151,62.14,60.27,60.89,62.14,62.76,62.76
152,60.27,60.89,62.14,62.76,62.76,60.89
153,60.89,62.14,62.76,62.76,60.89,62.14
154,62.14,62.76,62.76,60.89,62.14,59.03
155,62.76,62.76,60.89,62.14,59.03,60.89
156,62.76,60.89,62.14,59.03,60.89,62.14
157,60.89,62.14,59.03,60.89,62.14,60.89
158,62.14,59.03,60.89,62.14,60.89,60.27
159,59.03,60.89,62.14,60.89,60.27,59.03
160,60.89,62.14,60.89,60.27,59.03,59.03
161,62.14,60.89,60.27,59.03,59.03,57.79
162,60.89,60.27,59.03,59.03,57.79,59.03
163,60.27,59.03,59.03,57.79,59.03,57.17
164,59.03,59.03,57.79,59.03,57.17,57.79
165,59.03,57.79,59.03,57.17,57.79,60.27
166,57.79,59.03,57.17,57.79,60.27,60.89
167,59.03,57.17,57.79,60.27,60.89,60.89
168,57.17,57.79,60.27,60.89,60.89,59.03
169,57.79,60.27,60.89,60.89,59.03,57.17
170,60.27,60.89,60.89,59.03,57.17,57.79
171,60.89,60.89,59.03,57.17,57.79,60.27
172,60.89,59.03,57.17,57.79,60.27,57.79
173,59.03,57.17,57.79,60.27,57.79,60.89
174,57.17,57.79,60.27,57.79,60.89,59.03
175,57.79,60.27,57.79,60.89,59.03,60.27
176,60.27,57.79,60.89,59.03,60.27,59.03
177,57.79,60.89,59.03,60.27,59.03,59.03
178,60.89,59.03,60.27,59.03,59.03,59.03
179,59.03,60.27,59.03,59.03,59.03,57.17
180,60.27,59.03,59.03,59.03,57.17,62.14
181,59.03,59.03,59.03,57.17,62.14,60.27
182,59.03,59.03,57.17,62.14,60.27,57.79
183,59.03,57.17,62.14,60.27,57.79,60.27
184,57.17,62.14,60.27,57.79,60.27,57.17
185,62.14,60.27,57.79,60.27,57.17,60.27
186,60.27,57.79,60.27,57.17,60.27,57.17
187,57.79,60.27,57.17,60.27,57.17,60.27
188,60.27,57.17,60.27,57.17,60.27,59.03
189,57.17,60.27,57.17,60.27,59.03,57.79
190,60.27,57.17,60.27,59.03,57.79,60.89
191,57.17,60.27,59.03,57.79,60.89,59.03
192,60.27,59.03,57.79,60.89,59.03,57.17
193,59.03,57.79,60.89,59.03,57.17,60.27
194,57.79,60.89,59.03,57.17,60.27,60.89
195,60.89,59.03,57.17,60.27,60.89,60.27
196,59.03,57.17,60.27,60.89,60.27,60.27
197,57.17,60.27,60.89,60.27,60.27,60.27
198,60.27,60.89,60.27,60.27,60.27,60.27
199,60.89,60.27,60.27,60.27,60.27,57.17
200,60.27,60.27,60.27,60.27,57.17,60.89
201,60.27,60.27,60.27,57.17,60.89,57.17
202,60.27,60.27,57.17,60.89,57.17,57.17
203,60.27,57.17,60.89,57.17,57.17,54.06
204,57.17,60.89,57.17,57.17,54.06,55.3
205,60.89,57.17,57.17,54.06,55.3,57.17
206,57.17,57.17,54.06,55.3,57.17,59.03
207,57.17,54.06,55.3,57.17,59.03,55.92
208,54.06,55.3,57.17,59.03,55.92,57.17
209,55.3,57.17,59.03,55.92,57.17,57.17
210,57.17,59.03,55.92,57.17,57.17,57.79
211,59.03,55.92,57.17,57.17,57.79,57.17
212,55.92,57.17,57.17,57.79,57.17,57.79
213,57.17,57.17,57.79,57.17,57.79,60.27
214,57.17,57.79,57.17,57.79,60.27,57.79
215,57.79,57.17,57.79,60.27,57.79,55.92
216,57.17,57.79,60.27,57.79,55.92,54.06
217,57.79,60.27,57.79,55.92,54.06,57.17
218,60.27,57.79,55.92,54.06,57.17,57.17
219,57.79,55.92,54.06,57.17,57.17,57.79
220,55.92,54.06,57.17,57.17,57.79,57.17
221,54.06,57.17,57.17,57.79,57.17,59.03
222,57.17,57.17,57.79,57.17,59.03,57.79
223,57.17,57.79,57.17,59.03,57.79,57.79
224,57.79,57.17,59.03,57.79,57.79,59.03
225,57.17,59.03,57.79,57.79,59.03,57.17
226,59.03,57.79,57.79,59.03,57.17,60.27
227,57.79,57.79,59.03,57.17,60.27,57.79
228,57.79,59.03,57.17,60.27,57.79,55.3
229,59.03,57.17,60.27,57.79,55.3,60.89
230,57.17,60.27,57.79,55.3,60.89,57.79
231,60.27,57.79,55.3,60.89,57.79,57.79
232,57.79,55.3,60.89,57.79,57.79,57.17
233,55.3,60.89,57.79,57.79,57.17,55.92
234,60.89,57.79,57.79,57.17,55.92,60.27
235,57.79,57.79,57.17,55.92,60.27,59.03
236,57.79,57.17,55.92,60.27,59.03,60.27
237,57.17,55.92,60.27,59.03,60.27,57.79
238,55.92,60.27,59.03,60.27,57.79,57.17
239,60.27,59.03,60.27,57.79,57.17,60.27
240,59.03,60.27,57.79,57.17,60.27,59.03
241,60.27,57.79,57.17,60.27,59.03,57.17
242,57.79,57.17,60.27,59.03,57.17,55.92
243,57.17,60.27,59.03,57.17,55.92,59.03
244,60.27,59.03,57.17,55.92,59.03,60.89
245,59.03,57.17,55.92,59.03,60.89,60.27
246,57.17,55.92,59.03,60.89,60.27,60.89
247,55.92,59.03,60.89,60.27,60.89,59.03
248,59.03,60.89,60.27,60.89,59.03,60.89
249,60.89,60.27,60.89,59.03,60.89,57.79
250,60.27,60.89,59.03,60.89,57.79,57.17
251,60.89,59.03,60.89,57.79,57.17,57.79
252,59.03,60.89,57.79,57.17,57.79,60.27
253,60.89,57.79,57.17,57.79,60.27,57.79
254,57.79,57.17,57.79,60.27,57.79,62.14
255,57.17,57.79,60.27,57.79,62.14,59.03
256,57.79,60.27,57.79,62.14,59.03,57.17
257,60.27,57.79,62.14,59.03,57.17,57.79
258,57.79,62.14,59.03,57.17,57.79,59.03
259,62.14,59.03,57.17,57.79,59.03,60.27
260,59.03,57.17,57.79,59.03,60.27,60.89
261,57.17,57.79,59.03,60.27,60.89,57.79
262,57.79,59.03,60.27,60.89,57.79,60.27
263,59.03,60.27,60.89,57.79,60.27,57.17
264,60.27,60.89,57.79,60.27,57.17,60.27
265,60.89,57.79,60.27,57.17,60.27,57.79
266,57.79,60.27,57.17,60.27,57.79,60.27
267,60.27,57.17,60.27,57.79,60.27,60.27
268,57.17,60.27,57.79,60.27,60.27,60.27
269,60.27,57.79,60.27,60.27,60.27,59.03
270,57.79,60.27,60.27,60.27,59.03,60.89
271,60.27,60.27,60.27,59.03,60.89,59.03
272,60.27,60.27,59.03,60.89,59.03,60.27
273,60.27,59.03,60.89,59.03,60.27,60.27
274,59.03,60.89,59.03,60.27,60.27,57.79
275,60.89,59.03,60.27,60.27,57.79,57.17
276,59.03,60.27,60.27,57.79,57.17,59.03
277,60.27,60.27,57.79,57.17,59.03,60.27
278,60.27,57.79,57.17,59.03,60.27,59.03
279,57.79,57.17,59.03,60.27,59.03,60.27
280,57.17,59.03,60.27,59.03,60.27,59.03
281,59.03,60.27,59.03,60.27,59.03,57.79
282,60.27,59.03,60.27,59.03,57.79,57.79
283,59.03,60.27,59.03,57.79,57.79,57.17
284,60.27,59.03,57.79,57.79,57.17,60.27
285,59.03,57.79,57.79,57.17,60.27,60.89
286,57.79,57.79,57.17,60.27,60.89,60.89
287,57.79,57.17,60.27,60.89,60.89,60.27
288,57.17,60.27,60.89,60.89,60.27,60.89
289,60.27,60.89,60.89,60.27,60.89,59.03
290,60.89,60.89,60.27,60.89,59.03,60.27
291,60.89,60.27,60.89,59.03,60.27,60.27
292,60.27,60.89,59.03,60.27,60.27,57.17
293,60.89,59.03,60.27,60.27,57.17,55.92
294,59.03,60.27,60.27,57.17,55.92,60.27
295,60.27,60.27,57.17,55.92,60.27,60.27
296,60.27,57.17,55.92,60.27,60.27,59.03
297,57.17,55.92,60.27,60.27,59.03,59.03
298,55.92,60.27,60.27,59.03,59.03,60.27
299,60.27,60.27,59.03,59.03,60.27,57.79
300,60.27,59.03,59.03,60.27,57.79,57.79
301,59.03,59.03,60.27,57.79,57.79,59.03
302,59.03,60.27,57.79,57.79,59.03,60.27
303,60.27,57.79,57.79,59.03,60.27,60.27
304,57.79,57.79,59.03,60.27,60.27,60.27
305,57.79,59.03,60.27,60.27,60.27,59.03
306,59.03,60.27,60.27,60.27,59.03,59.03
307,60.27,60.27,60.27,59.03,59.03,57.79
308,60.27,60.27,59.03,59.03,57.79,60.27
309,60.27,59.03,59.03,57.79,60.27,60.89
310,59.03,59.03,57.79,60.27,60.89,62.14
311,59.03,57.79,60.27,60.89,62.14,60.27
312,57.79,60.27,60.89,62.14,60.27,60.27
313,60.27,60.89,62.14,60.27,60.27,62.14
314,60.89,62.14,60.27,60.27,62.14,59.03
315,62.14,60.27,60.27,62.14,59.03,59.03
316,60.27,60.27,62.14,59.03,59.03,59.03
317,60.27,62.14,59.03,59.03,59.03,55.92
318,62.14,59.03,59.03,59.03,55.92,57.17
319,59.03,59.03,59.03,55.92,57.17,59.03
320,59.03,59.03,55.92,57.17,59.03,60.27
