,Persistencia,LR,kNN,DTR,ELM,SVR,ADA,RFR,ETR,GBR,XGBR,FNN,CNN,LSTM,CNNLSTM,Attention
4458,"0,91209476","0,8968095934","0,9225459596","0,9132401546","0,9034923778","0,9044092959","0,8969020822","0,9243222191","0,9248125316","0,9214736325","0,9207622016","0,9162353508","0,9182682823","0,9211020147","0,9249111345","0,921259574"
6980,"0,73916232","0,7646765145","0,7865061003","0,7789350696","0,7334459463","0,7481850056","0,734786268","0,8046433635","0,7930917383","0,7920973571","0,7864828341","0,7928367945","0,8007521354","0,7939967322","0,7954404915","0,8029209322"
10124,"0,67461422","0,7320912009","0,7816282626","0,7599072775","0,7583572893","0,7491546724","0,7179685755","0,7840378844","0,785428792","0,7811753492","0,7807586464","0,7820779744","0,785807933","0,7862937293","0,7862659405","0,7752455264"
6132,"0,67325975","0,7302579901","0,7777098552","0,7535974184","0,765000857","0,7669250419","0,7282522972","0,7775345449","0,7770382119","0,7760425641","0,7760785604","0,7746674163","0,7742650071","0,7771132283","0,7803343425","0,7773853793"
3642,"0,78857767","0,8113224401","0,8642812879","0,8486177302","0,8588729078","0,8432758852","0,8419032123","0,8642524517","0,8643420034","0,862111342","0,8619645001","0,8619625457","0,865990552","0,8674204273","0,8675806795","0,8633007318"
4192,"0,91205888","0,9252145402","0,9430730584","0,9352271756","0,9176228675","0,9310148163","0,9087655851","0,9435186537","0,9434297974","0,9411400409","0,941316697","0,9374415921","0,940293302","0,9434482938","0,943556518","0,9432902956"
3697,"0,91500325","0,9327538621","0,9502255397","0,9433017056","0,9470099291","0,9434753427","0,9130750916","0,9507857253","0,951247123","0,9498595637","0,949701287","0,947145594","0,9457000316","0,9475212949","0,9514233218","0,9483181173"
3910,"0,88310997","0,9053895579","0,9441187379","0,9342373496","0,9349515903","0,9282640409","0,9091644114","0,9439922417","0,9440149395","0,9421808843","0,9423546374","0,9412900022","0,9407249036","0,9421987816","0,9459135433","0,94632112"
3500,"0,54997803","0,6514094498","0,651909458","0,6158547338","0,6410643708","0,6571441478","0,620968922","0,667064834","0,6684073442","0,6661698618","0,6646750899","0,6691595011","0,6641077619","0,6666640929","0,664242355","0,6526821456"
5761,"0,89427912","0,9123979749","0,9364068692","0,9293663554","0,9305120088","0,9283633853","0,9023982678","0,9362496722","0,9359851609","0,9345311085","0,9341977124","0,9325880866","0,9320340323","0,9340055001","0,9370660299","0,9348538539"
402577,"0,9541366","0,9572154552","0,9607116814","0,9562748702","0,9593131554","0,9584245745","0,9513074508","0,9598987966","0,9596156148","0,9594424681","0,9595235636","0,9594234535","0,957460988","0,9596706051","0,961400621","0,9587143491"
402045,"0,84553043","0,8866259325","0,8903443661","0,8805633673","0,8898020551","0,8897497734","0,868679822","0,8901869583","0,8905848133","0,8893533793","0,8894269252","0,890013486","0,8904257703","0,8899531938","0,8899098099","0,8869016936"
401952,"0,87122658","0,9030343544","0,9080111904","0,9003501518","0,9057696838","0,9072153017","0,8957313322","0,907647026","0,9078457184","0,9070991419","0,9069704365","0,9085023062","0,9085218378","0,9089760211","0,9084238388","0,907436289"
407479,"0,98376837","0,9808844332","0,9870089459","0,9813905526","0,9818194306","0,9820061371","0,9742353772","0,9863586663","0,98642418","0,9837918604","0,9835175735","0,9834977699","0,9843611745","0,9829202721","0,9846864896","0,9808355833"
404356,"0,9891241","0,9889860202","0,99541282","0,9875553188","0,9899587565","0,9898126349","0,9830531708","0,9923693976","0,9926894214","0,991050281","0,9911512118","0,9893324469","0,9914853565","0,991286078","0,9923116931","0,9934524867"
401256,"0,86021323","0,8888519049","0,8967291993","0,8881297588","0,8941797728","0,8963336148","0,8786178722","0,897035263","0,8970554851","0,8959915522","0,8958195768","0,8971002036","0,8971092815","0,8978255385","0,8967283033","0,896259776"
401657,"0,87199319","0,8927081065","0,893664016","0,8846073655","0,8923903996","0,8929334584","0,8748426755","0,8930444371","0,8934293435","0,8928199707","0,8923364214","0,8936901854","0,892103721","0,8935440385","0,8927899734","0,8936962138"
407990,"0,82994485","0,8743417114","0,880310407","0,8689377528","0,8770649482","0,8791877264","0,8637253095","0,8794278563","0,8799207924","0,8787136781","0,8785518217","0,8785387179","0,8803986196","0,8798947125","0,8805778222","0,878123971"
400359,"0,91226658","0,9319185259","0,9348212464","0,9290583863","0,9338635755","0,9342105942","0,9275324924","0,9351449835","0,9351994108","0,9353300994","0,9351875405","0,9345205528","0,9357338739","0,9355019143","0,9352633091","0,9350258453"
409306,"0,73552373","0,7742767696","0,7774639225","0,753363316","0,7729982129","0,7641477758","0,6684885352","0,7769843473","0,7805912053","0,7741391709","0,7766862049","0,7745387021","0,772003576","0,7689645965","0,7763462217","0,7640716155"
145,"0,4555615","0,6301197683","0,6577389704","0,6415124701","0,6563156331","0,6362128904","0,4240847079","0,660825331","0,6629784998","0,6584084245","0,6583413041","0,6671517018","0,6659608541","0,6674418257","0,6661810553","0,660766207"
418,"0,78814682","0,7384060288","0,74611915","0,7335551473","0,7429133069","0,7513302111","0,6909292428","0,7519132267","0,7518962315","0,7494600433","0,7442778343","0,7466906611","0,7358987382","0,7526460859","0,74486715","0,7484837526"
137,"0,88343225","0,8783660018","0,8808918912","0,8759542987","0,8790378428","0,8632010352","0,8554950338","0,88421103","0,8854095345","0,883490748","0,8827842704","0,8834919141","0,886413435","0,8794406048","0,8833682228","0,8829877209"
169,"0,90816189","0,9007733036","0,9083300933","0,9020399985","0,9057025187","0,8558063711","0,8399779943","0,9100102797","0,9106989424","0,9087884739","0,9078583276","0,9099652438","0,9092564476","0,9104329094","0,9099317404","0,9074363349"
157,"0,83287523","0,8112365561","0,8268530399","0,816675328","0,8197313171","0,7662249436","0,7792257532","0,8296044057","0,8308106958","0,8262418882","0,8252308428","0,8298723898","0,8291826904","0,8296020262","0,8300381498","0,8269508414"
259,"0,90283819","0,8980422178","0,8999540449","0,8941279831","0,8987718238","0,8672246602","0,8868755403","0,9009626014","0,9013866387","0,9002143881","0,9007239268","0,9014505169","0,8992392557","0,900606903","0,9023464958","0,894785789"
217,"0,90311657","0,8840826338","0,8916065811","0,8851051212","0,8895732634","0,8757133882","0,8701776236","0,8941338995","0,8947594764","0,8936520713","0,8929471204","0,8956994438","0,8925621572","0,8929156289","0,8903567739","0,8926852949"
106,"0,76536681","0,7555517182","0,7707141783","0,760717196","0,7609542377","0,7355612606","0,5930544489","0,7740169431","0,7742882044","0,7701604139","0,7707355757","0,7749228408","0,7662712221","0,7641027374","0,7721594732","0,7636853764"
295,"0,66235367","0,6374071541","0,6611506369","0,6551772407","0,6674639033","0,6641555694","0,6288702078","0,6664192451","0,6680428624","0,6672889779","0,6740892421","0,6671922223","0,6445181949","0,6617778123","0,6664491552","0,6798748612"
