,Persistencia,LR,kNN,DTR,ELM,SVR,ADA,RFR,ETR,GBR,XGBR,FNN,CNN,LSTM,CNNLSTM,Attention
318,"0,87033414","0,8613640795","0,8669901757","0,8587082402","0,8663205327","0,8352898929","0,8457894411","0,8687034384","0,8697216197","0,8684183246","0,8681138401","0,8687107782","0,8711279501","0,870549716","0,871590874","0,8693797786"
2,"0,88111481","0,8887377459","0,8996589513","0,8922989513","0,899679368","0,8990949137","0,8614831","0,9009314149","0,9010366716","0,9001228068","0,9009052913","0,9008352284","0,8980092356","0,9002144816","0,9012901094","0,8996433158"
74,"0,80200836","0,8195974355","0,8359414582","0,8236444262","0,8350369403","0,8323428067","0,7839354696","0,840061212","0,8402878494","0,8387852452","0,8381538223","0,8405016314","0,8389050873","0,8361415002","0,8415893757","0,8369413108"
90,"0,74802259","0,7699962032","0,7903589006","0,7667897939","0,7847376054","0,7862263743","0,640634933","0,7955760839","0,7975130672","0,7936949071","0,7891428268","0,7970767475","0,7932511346","0,7949255394","0,7908201736","0,7833335092"
95,"0,71734724","0,7541903158","0,7748222281","0,7607955203","0,768760086","0,7760316687","0,7293996046","0,7796630867","0,7808938294","0,7794925037","0,7776804036","0,7806227791","0,7787720624","0,7774595316","0,7809153355","0,7555297154"
120,"0,84108895","0,8550233674","0,8555462748","0,8460357233","0,8605036611","0,8628900964","0,7924310439","0,8570162478","0,8572025969","0,8564247647","0,8562108899","0,8657292727","0,8584701303","0,8630630161","0,8555094912","0,8369568331"
145,"0,85175704","0,8635512591","0,8820419984","0,8709111389","0,8771290712","0,8753374795","0,8422990354","0,8827780306","0,8838470518","0,8822234679","0,8824814244","0,8815256834","0,8861631301","0,8840450403","0,8836459744","0,8715091644"
147,"0,85891064","0,8665587351","0,8941190864","0,8845026108","0,8817211732","0,8935958097","0,8589447571","0,8960886337","0,8959733213","0,8931285198","0,8942003113","0,8933341268","0,8994222447","0,8980538726","0,8983036032","0,8927007041"
230,"0,81455165","0,781579669","0,7924667824","0,7774304682","0,7846943945","0,7991419534","0,7643859553","0,7950776113","0,7964893362","0,7957428954","0,7927449553","0,8012072351","0,7782680165","0,7919834159","0,7976231559","0,793488661"
233,"0,76992739","0,7968167684","0,8033831854","0,7882640604","0,8011387741","0,8051383131","0,7498852412","0,807123398","0,8087146581","0,8051466206","0,805602405","0,8034163695","0,8084484844","0,8034310689","0,8088805006","0,8007916171"
285,"0,85396743","0,8531973933","0,8613498498","0,8490556383","0,8552817471","0,8630486153","0,7861362051","0,8627506546","0,8636879129","0,8621945605","0,861454031","0,8504609691","0,8584341018","0,8627427351","0,8534334872","0,8528550633"
