,Persistencia,LR,kNN,DTR,ELM,SVR,ADA,RFR,ETR,GBR,XGBR,FNN,CNN,LSTM,CNNLSTM,Attention
4458,"0,78910943","0,7834302093","0,852542566","0,8378144399","0,7658243673","0,8072309502","0,7998951291","0,8564032779","0,8569163582","0,8518584315","0,8502269303","0,8438642032","0,8453139729","0,8501031367","0,8564083223","0,8536662527"
6980,"0,57498596","0,6261811046","0,7080024","0,6832323999","0,5105944719","0,6800043951","0,6680638347","0,7114561509","0,7183784866","0,7157076065","0,7159545936","0,7186899662","0,7217081431","0,7195204976","0,716724768","0,7134937455"
10124,"0,51085593","0,5882287731","0,6901554594","0,6627495693","0,6394614152","0,6289237906","0,5668108137","0,6968664836","0,6963462424","0,6920205581","0,6916820431","0,6930811288","0,6987150364","0,6963763022","0,6927264817","0,6981380534"
6132,"0,5244654","0,6009151306","0,7079028364","0,6780845035","0,688827029","0,6896442586","0,6510121823","0,7068425957","0,7081602041","0,7028957966","0,7045632709","0,70017172","0,7075652763","0,7074648964","0,7068737717","0,706426955"
3642,"0,59997218","0,6445822409","0,7576465079","0,7312798791","0,697535148","0,7100134926","0,7144263395","0,7580619418","0,7588307721","0,7558547908","0,7553380711","0,7629845193","0,7587295436","0,7577878956","0,762820631","0,7525270771"
4192,"0,80466179","0,8381830409","0,895479786","0,8839951374","0,8745052529","0,8602251397","0,8356390062","0,8963299087","0,8963341156","0,8911280696","0,8908064746","0,8876360642","0,8909784317","0,8943597714","0,8983967537","0,8952463366"
3697,"0,79775285","0,8502714851","0,9099984293","0,8977158222","0,8978314827","0,8908053079","0,8502236987","0,9111703086","0,9119909636","0,9093029853","0,9093755771","0,9021699604","0,9077685814","0,9092128284","0,9102835086","0,9120094709"
3910,"0,69715879","0,7596590938","0,8928392978","0,8762252694","0,8751992029","0,8467807979","0,815370888","0,8906455334","0,8918599669","0,8878078192","0,8870769506","0,8894179481","0,8865977233","0,8939234263","0,8950427837","0,8939415102"
3500,"0,46001858","0,5660621465","0,5853532663","0,543196491","0,5694371843","0,5557050426","0,485067454","0,5964650338","0,6031557632","0,5876984213","0,5898351175","0,5846585055","0,5995995019","0,5754076476","0,5599444839","0,5566694564"
5761,"0,7665842","0,823384847","0,89340349","0,8800897518","0,8838197625","0,8756872521","0,8395055561","0,8932321709","0,8933293657","0,8898029434","0,8893163187","0,887717341","0,8915010354","0,8883092964","0,8919932201","0,8946788289"
402577,"0,93817184","0,9396816834","0,9482389403","0,9409475785","0,944467475","0,9432534328","0,9355757448","0,9464246083","0,9469844053","0,9456106461","0,9455212471","0,9462604639","0,9462461189","0,9473968304","0,9485847296","0,9479734362"
402045,"0,8200964","0,8662599413","0,8719957893","0,8628390762","0,8700871195","0,8716139953","0,842707066","0,8722713211","0,8725828301","0,8716471127","0,8718876649","0,8720401119","0,8696768456","0,8726414521","0,8707404914","0,8687038358"
401952,"0,85080155","0,8812926486","0,888791053","0,8790819022","0,8863127378","0,8869450901","0,8766904278","0,8880554712","0,8882913763","0,8873870855","0,8874220691","0,8883979143","0,8889115069","0,8882930382","0,8838618414","0,8840403122"
407479,"0,97009131","0,9681259921","0,9800353852","0,9714337773","0,9725121087","0,9713999139","0,9609596721","0,9792363392","0,9786211328","0,9746138754","0,9746356451","0,9746996612","0,9738615021","0,9739664396","0,9758602524","0,9770624429"
404356,"0,97521666","0,9785118314","0,9923588991","0,9797030381","0,9813323869","0,98109299","0,9699675988","0,9869017931","0,9875436557","0,9845196017","0,984185462","0,9832378204","0,9848430264","0,983503372","0,9863557587","0,9917656654"
401256,"0,82980658","0,8555238484","0,8728190208","0,8598227836","0,8679841225","0,8691890873","0,8475535111","0,8726416024","0,8728642776","0,8713224318","0,8708516212","0,872766184","0,8727993332","0,8743161409","0,8720670667","0,8728409445"
401657,"0,83942708","0,8640418351","0,8676723822","0,8541536449","0,8645579869","0,8654302289","0,8482596401","0,8670042958","0,8670474155","0,8659738529","0,865771099","0,8678687592","0,8675242199","0,8672665749","0,8678594359","0,8672766991"
407990,"0,80839633","0,8528796671","0,8625082663","0,8492464036","0,8601876021","0,8609563651","0,8408397553","0,8614459065","0,8618002991","0,8607301348","0,8607251417","0,8609116287","0,8627797926","0,8618407665","0,8631859254","0,8610013022"
400359,"0,89252963","0,9116446822","0,9175437882","0,9104239128","0,9160349393","0,9162429841","0,9064750505","0,9175159172","0,917701762","0,9173277765","0,9171854032","0,9183635147","0,9183678778","0,9176252648","0,9183237766","0,9174120132"
409306,"0,69906818","0,7352923618","0,7382075045","0,7129458697","0,7224946641","0,7244630332","0,5387441058","0,7373877937","0,7440692102","0,7366069561","0,7382897702","0,7345668494","0,737657577","0,7335637004","0,7065315666","0,716081241"
145,"0,29330251","0,5273356248","0,559172356","0,5327272735","0,5576249079","0,5449800654","0,4202060532","0,5589113699","0,5629359758","0,5581486037","0,556951775","0,572093851","0,56911872","0,5633931625","0,5560340239","0,5142401632"
418,"0,69397714","0,6549679392","0,6647015318","0,64939609","0,6677424904","0,6670450447","0,5699749002","0,6725671271","0,6731399265","0,6681021752","0,6624792628","0,672431499","0,6608722625","0,6609023039","0,6694758878","0,6619375496"
137,"0,78273358","0,7843804125","0,7902946017","0,7807963447","0,7894861182","0,7569755437","0,6695049266","0,7940326469","0,7965996072","0,7947519345","0,7943306938","0,7985884662","0,7969568384","0,7955433982","0,7942800353","0,7922206421"
169,"0,82748552","0,8269785322","0,8407130988","0,8282295882","0,8394525281","0,7729276748","0,8107898606","0,8423614999","0,8431679289","0,8404997462","0,8399824589","0,8417622864","0,8366297932","0,8431633676","0,8424525264","0,8443333684"
157,"0,7460029","0,730936979","0,7616720926","0,7503921669","0,7514696216","0,6868768176","0,7173360634","0,7660481956","0,7665684005","0,7613504784","0,7610804875","0,7696146482","0,7674405455","0,7655224006","0,7692066936","0,7620665247"
259,"0,83684741","0,832330457","0,8347656431","0,8243819213","0,8338192791","0,7971363732","0,8131615899","0,8360024461","0,8371683038","0,8357432656","0,798733611","0,8360494916","0,8379906","0,8350864114","0,8361197577","0,83135695"
