,Persistencia,LR,kNN,DTR,ELM,SVR,ADA,RFR,ETR,GBR,XGBR,FNN,CNN,LSTM,CNNLSTM,Attention
4458,"0,85504906","0,8441271187","0,8898688591","0,8787811186","0,8235370755","0,8608866867","0,8300852936","0,893217882","0,893342902","0,8899624172","0,8883880236","0,8833021735","0,8812719755","0,8896416864","0,8924615131","0,8767532507"
6980,"0,65746436","0,694588658","0,747278631","0,7277641398","0,6644357052","0,7119279113","0,6906478389","0,7563154367","0,7486990428","0,7563001813","0,7598499955","0,7501672883","0,7609649587","0,7533745752","0,738039554","0,7546110036"
10124,"0,59634534","0,6634813224","0,7386293259","0,7084016807","0,6947489231","0,6921788184","0,6573211622","0,7434725293","0,7425463137","0,7378470874","0,7380689046","0,7386385769","0,7403003238","0,7434915524","0,7385769559","0,7428258533"
6132,"0,60054709","0,6713222962","0,7477158234","0,7197000074","0,7300867121","0,7334409601","0,6967410737","0,7469954587","0,7476697071","0,7463599027","0,7461269404","0,743428616","0,7475845386","0,7482697313","0,7484941434","0,7446572216"
3642,"0,70101741","0,7315847454","0,8165514875","0,7967004616","0,7948494589","0,7850183279","0,7789312342","0,8165414762","0,8170589036","0,8140297681","0,8138449567","0,8160295984","0,8195656472","0,8185233296","0,8210212186","0,8130890308"
4192,"0,86197146","0,8854353949","0,9203879701","0,9079506046","0,8956830752","0,897799251","0,8763759635","0,9208059587","0,9207178773","0,9177330529","0,9176153087","0,9112754817","0,9143183473","0,9197083338","0,9217347664","0,919126897"
3697,"0,86176399","0,8951099811","0,9303717471","0,9228521037","0,9165255903","0,9192431366","0,885301699","0,9314627656","0,9319882957","0,930325942","0,93015423","0,9251709832","0,9279582584","0,928960226","0,9304384839","0,9305629425"
3910,"0,79682483","0,8395607073","0,9202521144","0,909728965","0,9113312629","0,8931176611","0,8773807059","0,9191178411","0,9193574868","0,9168164482","0,9164002708","0,9163205343","0,918277041","0,9202763009","0,9204996174","0,9138783869"
3500,"0,50798326","0,6099078444","0,6039796559","0,5725870506","0,5893861811","0,6076238925","0,5781644766","0,6304008889","0,6297321397","0,6248781938","0,6330917621","0,6344359396","0,6327779352","0,5985747547","0,6313344019","0,6018745307"
5761,"0,83618401","0,8722547943","0,9159922026","0,9053929004","0,9076291724","0,9042559451","0,8682513955","0,9154143732","0,9156620873","0,9128135601","0,9126254372","0,9098181026","0,9134702429","0,9146654454","0,91560748","0,9131242492"
402577,"0,94635478","0,9484858787","0,95414983","0,9477382709","0,9517559088","0,9506857889","0,9387223625","0,9532352219","0,9532101043","0,9523742012","0,952344269","0,9518663535","0,951703858","0,9543774149","0,954218726","0,9527270298"
