,h = 1,h = 2,h = 3,h = 4
402577,23774,51172,56465,43218
402045,41131,75123,18553,24632
401952,22978,36290,36287,68373
407479,57964,21035,77137,52022
404356,47276,70302,52394,64505
401256,32656,47523,62971,50810
401657,31258,36339,100118,68135
407990,48766,42094,68411,79397
400359,22167,10539,94956,28416
409306,19527,21319,30832,58502
