,h = 1,h = 2,h = 3,h = 4
402577,27767,27767,27767,27767
402045,29466,29466,29466,29466
401952,20048,20048,20048,20048
407479,21715,21715,21715,21715
404356,26762,26762,26762,26762
401256,22342,22342,22342,22342
401657,12602,12602,12602,12602
407990,11848,11848,11848,11848
400359,30146,30146,30146,30146
409306,10600,10600,10600,10600
