,h = 1,h = 2,h = 3,h = 4
402577,12331,17140,8875,17047
402045,10115,13597,10867,14179
401952,7313,12464,13567,7503
407479,12303,10249,12429,9279
404356,15351,11316,19092,10223
401256,6903,15528,16135,6611
401657,15199,7013,10540,12123
407990,16512,11611,11687,8385
400359,4909,14777,11662,18908
409306,2719,9651,5835,9483
