,h = 1,h = 2,h = 3,h = 4
402577,36841,25976,21139,47323
402045,21795,26284,34592,27567
401952,38819,35694,42275,33718
407479,57693,24174,38530,10310
404356,55565,51167,54553,64124
401256,20324,32625,42123,44349
401657,15761,6083,22758,12635
407990,8946,40431,8479,12584
400359,47376,24877,40928,27587
409306,29163,13855,11649,17704
