,h = 1,h = 2,h = 3,h = 4
402577,72645,29748,41312,35420
402045,14632,52412,75347,30597
401952,61187,36781,57759,33515
407479,20999,38242,40677,63391
404356,51943,17378,59971,33121
401256,49361,39349,62623,28907
401657,27961,35234,41913,21521
407990,35777,21876,30061,34511
400359,25557,22488,67896,33606
409306,24389,39507,13899,58474
